data_model,sigma,repeats,seed,method,mean_squared_error,p90_squared_error,selected_temperature,csm_oracle_relative_difference,gaussian_unregularized_expected_risk
linear_gaussian,0.1,4,11,oracle_ridge,0.010101391241373818,0.018716381635425237,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,12,csm,0.009725766013282802,0.01753707007099422,nan,2.9978490027673666e-16,0.010000000000000002
linear_gaussian,0.1,4,12,simple_average,0.009725766013419835,0.01753707007105298,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,12,hebbian,2.6607776501651212,6.067651305902757,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,12,softmax,0.009721514146977916,0.01752895993588287,0.1,nan,0.010000000000000002
linear_gaussian,0.1,4,12,oracle_ridge,0.009725766013282795,0.017537070070994223,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,13,csm,0.006258223823079589,0.010270046101116384,nan,2.9015464142069904e-16,0.010000000000000002
linear_gaussian,0.1,4,13,simple_average,0.006258223823707949,0.010270046100304351,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,13,hebbian,1.9890302971808866,2.553412929016519,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,13,softmax,0.006249773958934554,0.01027172889901475,0.1,nan,0.010000000000000002
linear_gaussian,0.1,4,13,oracle_ridge,0.006258223823079587,0.010270046101116375,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,14,csm,0.00661740690748759,0.011010940900892628,nan,2.9267206247884295e-16,0.010000000000000002
linear_gaussian,0.1,4,14,simple_average,0.006617406907934332,0.011010940899945806,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,14,hebbian,1.8327557587188483,2.4743692381223674,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,14,softmax,0.006609562961450791,0.011022571818961224,0.1,nan,0.010000000000000002
linear_gaussian,0.1,4,14,oracle_ridge,0.006617406907487593,0.011010940900892609,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,15,csm,0.009670654655983674,0.023987046636015728,nan,2.781751252528796e-16,0.010000000000000002
linear_gaussian,0.1,4,15,simple_average,0.009670654656887368,0.023987046638700722,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,15,hebbian,3.2766766067087816,5.786880991228363,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,15,softmax,0.009660613520881186,0.023955002283150832,0.1,nan,0.010000000000000002
linear_gaussian,0.1,4,15,oracle_ridge,0.009670654655983671,0.023987046636015714,nan,nan,0.010000000000000002
linear_gaussian,0.1,8,0,csm,0.008534264242278086,0.012079555676482308,nan,3.4167791551279464e-16,0.005000000000000001
linear_gaussian,0.1,8,0,simple_average,0.008534264242547704,0.012079555676868964,nan,nan,0.005000000000000001
linear_gaussian,0.1,8,0,hebbian,13.704104576981202,29.010407582454885,nan,nan,0.005000000000000001
linear_gaussian,0.1,8,0,softmax,0.008527896703639664,0.012073051595560278,0.1,nan,0.005000000000000001
